Security Code,Security Id,Security Name,Group,Face Value,ISIN No,Industry
500002,ABB,ABB India Limited,B ,2,INE117A01022,Heavy Electrical Equipment
500003,AEGISLOG,AEGIS LOGISTICS LTD.,A ,1,INE208C01025,Oil Marketing & Distribution
500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,A ,1,INE885A01032,Auto Parts & Equipment
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,X ,10,INE432A01017,Pharmaceuticals
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,A ,2,INE001A01036,Housing Finance 
500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,X ,10,INE714B01016,Commodity Chemicals
500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,T ,5,INE436A01026,Realty
500014,UTIQUE,Utique Enterprises Ltd,X ,10,INE096A01010,Finance (including NBFCs)
500016,ARUNAHTEL,ARUNA HOTELS LTD.,XT,10,INE957C01019,Hotels
500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,A ,2,INE032A01023,Textiles
500023,ASIANHOTNR,Asian Hotels (North) Limited,B ,10,INE363A01022,Hotels
500027,ATUL,ATUL LTD.,A ,10,INE100A01010,Specialty Chemicals
500028,ATVPR,ATV PROJECTS INDIA LTD.,XT,10,INE447A01015,Construction & Engineering
500029,AUTOLITIND,AUTOLITE (INDIA) LTD.,B ,10,INE448A01013,Auto Parts & Equipment
500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,A ,2,INE193E01025,Household Appliances
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,B ,1,INE306A01021,Sugar
500033,FORCEMOT,FORCE MOTORS LTD.-$,A ,10,INE451A01017,Cars & Utility Vehicles
500034,BAJFINANCE,Bajaj Finance Limited,A ,2,INE296A01024,Finance (including NBFCs)
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,A ,1,INE119A01028,Sugar
500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,B ,2,INE213C01025,Auto Parts & Equipment
500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,A ,10,INE055A01016,Cement & Cement Products
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,B ,10,INE459A01010,Sugar
500042,BASF,BASF INDIA LTD.,A ,10,INE373A01013,Specialty Chemicals
500043,BATAINDIA,BATA INDIA LTD.,A ,5,INE176A01028,Footwear
500048,BEML,BEML LTD.,A ,10,INE258A01016,Commercial Vehicles
